id, TITLE, UNIF TITLE, AUTHOR, ISBN/ISSN, LOCATIONS, SHELF INFO, IMPRINT, EDITION, SUBJECT, NOTE, SERIES, DESCRIPT, ALT TITLE, ALT AUTHOR
"166","Clariel : the lost Abhorsen / Garth Nix.","","Nix, Garth.","9780061561559 (hbk.)","Public Library TEEN (1st floor)","PubLib TEEN FICTION (1s FIC NIX, G.","New York, NY : Harper, an imprint of HarperCollinsPublishers,; [2014]","First edition.","Magic -- Juvenile fiction.; Magic -- Fiction.; Fantasy.","""The story of how Clariel became a Free Magic Sorcerer, set 600; years before the birth of Sabriel""-- Provided by publisher.","Old Kingdom series ; 4.; Nix, Garth. Old Kingdom series ; 4.","382 pages : maps ; 24 cm.","",""
"167","Planning and implementing technical services workstations /; Michael Kaplan, editor.","","","0838906982 (pbk. : alk. paper)","Public Library","PubLib OFFICE-PROF      025 P712","Chicago : American Library Association, 1997.","","Processing (Libraries) -- United States -- Data processing --; Planning.; Microcomputer workstations -- United States -- Planning.","Includes bibliographical references (p. 217-220) and index.; Hardware and network considerations / Michael Kaplan -- Software; considerations / Michael Kaplan -- A developer's point of; view / Mark Wilson -- National cooperative programs / Michael; Kaplan -- Online documentation first steps : Cataloger's; desktop / Bruce Chr. Johnson --Library of Congress; classification : SuperLCCS and Classification plus / Anaclare; Frost Evans -- Dewey for Windows / Diane Vizine-Goetz and Mark; Bendig -- Northwestern University's toolkit / Gary L. Strawn --; Custom applications : the Library of Congress experience /; David Williamson --Ergonomics and design / Bruce Trumble --; Training / Julia C. Blixrud --The TSW and emerging technologies; : a researcher's perspective / Diane Vizine-Goetz.","","xviii, 237 p. : ill. ; 26 cm.","","Kaplan, Michael (Michael Steven)"
"168","Doctor Who. Series six, Part one [DVD] / BBC ; written by Steven; Moffat ... [et al.] ; directed by Toby Haynes ... [et al.] ;; produced by Marcus Wilson & Sanne Wohlenberg.","Doctor Who (Television program : 2005- ). Season 6. Selections.","","9780780672277.","Public Library","PubLib DVD (1st floor)  TV PRODUCTION - D","[United States] : BBC Worldwide Americas ; Burbank, Calif. :; Distributed by Warner Home Video, 2011.","","Doctor (Fictitious character) -- Drama.; Human-alien encounters -- Drama.; Extraterrestrial beings -- Drama.; Interplanetary voyages -- Drama.; Time travel -- Drama.; Science fiction television programs. lcgft.; Action and adventure television programs. lcgft.; Television series. lcgft.; Fiction television programs. lcgft.; Television programs -- Great Britain. local.; Television programs -- Canada. local.; Video recordings for the hearing impaired. lcgft.; DVD video discs.","DVD, NTSC ; widescreen (16:9; enhanced) presentation ; Dolby; digital 5.1.; English subtitles for the deaf and hard of hearing.; Title from container.; Matt Smith, Karen Gillan, Arthur Darvill.; Originally broadcast as episodes of the television series in; 2011.; Not rated.; Matt Smith and Karen Gillan make their triumphant return as the; Doctor and his companion in an all-new series of Doctor Who!; The new series will split in two parts. In Part 1, the Doctor,; Amy, and Rory find themselves in sixties America, battling the; invasion the world forgot, then journey on the high seas of; 1696 aboard a pirate ship, to solve the mystery of the Siren.; The impossible astronaut -- Day of the moon -- The curse of the; black spot -- The Doctor's wife -- The rebel flesh -- The; almost people -- A good man goes to war.; Special features include Monster files.; Executive producers, Steven Moffat, Piers Wenger, Beth Willis.","","2 videodiscs (ca. 310 min.) : sd., col. ; 4 3/4 in.","Dr. Who. Series six, part one.; Doctor Who. Series 6, part 1.","Smith, Matt, 1982-  Actor.; Gillan, Karen, 1987-  Actor.; Darvill, Arthur, 1982-  Actor.; Moffat, Steven, 1961-  Author of screenplay.; Haynes, Toby.  Director.; Wilson, Marcus.  Producer.; Wohlenberg, Sanne, 1968-  Producer.; BBC Worldwide Americas, Inc.; British Broadcasting Corporation.; Warner Home Video (Firm)"
"169","Sabriel / Garth Nix.","","Nix, Garth.","9780061474354.","Public Library TEEN (1st floor) & Public Library","PubLib TEEN FICTION (1s FIC NIX, G.","New York : HarperCollins, c1995.","1st American ed.","Fantasy.","""First published in 1995 by HarperCollins""--verso t.p.; Sabriel, daughter of the necromancer Abhorsen, must journey into; the mysterious and magical Old Kingdom to rescue her father; from the Land of the Dead.","The Old Kingdom series ; 1.; Nix, Garth Old Kingdom series ; 1.","xi, 292 p. : map ; 24 cm.","",""
"170","Tinkerlab : a hands-on guide for little inventors / Rachelle; Doorley.","","Doorley, Rachelle.","9781611800654 (pbk. : alk. paper)","Public Library YOUTH","PubLib YOUTH PARENT (1s 600 DOO","Boston : Roost Books, 2014.","First edition.","Inventions.; Creative activities and seat work.; Playrooms.","Includes bibliographical references (page 216).; Features creative experiments designed to encourage young; children to use their natural curiosity to explore, test, play,; and tinker.; Introduction -- Prepare. Creating your tinkerlab ; Tools for; tinkering ; Ten tinkerlab habits of mind -- Experience.; Design ; Build ; Concoct ; Discover.; PREPARE -- 1. Creating Your Tinkerlab -- Tips for Clearing; Children's Clutter / Jillian Maxim -- What Nursery Schools Can; Teach Us about Creative Invitations: An Interview with Nancy; Howe -- 2. Tools for Tinkering -- 3. Ten Tinkerlab Habits of; Mind -- EXPERIENCE -- 4. Design -- Oh No, That's Not; Creative! / Jessica Hoffmann Davis -- Circle Games -- Peel and; Stick -- Glue, Glue, Glue -- Mark Outside the Box -- Watercolor; Exploration -- Yes, You Can Paint on That! -- Monoprints --; Bubble Prints -- Drawing Games -- Draw What You See -- Art Dice; -- Paint Experiments -- Paste Paper -- Ten Lessons the Arts; Teach / Elliot Eisner -- Marbleized Paper with Paint and Oil --; Plexiglas Painting -- Foam Plate Relief Prints -- Collage; Painting -- Finding Your Five-Year-Old Self in the Art Museum; by Margie Maynard -- 5. Build -- The Value of Loose Parts: An; Interview with Susan Harris MacKay -- Gumdrop Structures --; Hanging Structures -- Straw Rockets.; Marble Runs: Ramps and Gravity -- Paper Houses -- Scrap; Building -- Ropes and Pulleys -- CD Spinner -- Does It; Float? -- Pounding Nails -- Take Things Apart -- Drawing; Machine -- DIY Robot -- DIY Kids: Building Tomorrow's; Innovators through Hands-on Making / Grace Hawthorne -- 6.; Concoct -- Yes, and ... How to Improvise with Children: An; Interview with Dan Klein -- Potion Station -- Goop -- Marker; Explosions -- Make Your Own (Semiedible) Paint -- Slime -- Ice; and Salt Exploration -- Ice Cream in a Jar: An Edible; Investigation -- Frozen Carbon Dioxide -- Yeast and Sugar; Expansion -- Naked Egg Experiment -- Homemade Butter: An Edible; Investigation -- Lemon Invisible Ink -- Glittery Egg Geodes --; Natural Dyes -- Kitchen Challenge: An Edible Investigation --; Concoctions in a Michelin-Starred Kitchen: An Interview with; Bruno Chemel -- 7. Discover -- How to Set Up a Discovery Area:; An Interview with Parul Chandra -- Playdough Building -- Cloud; Dough.; Pounding Flowers -- Scavenger Hunts -- DIY Light Box --; Photograms -- Ephemeral Installation -- Shadow; Investigations -- DIY Lava Lamp -- Mystery Bag -- The Benefits; of Basic Materials / Jennifer Winters.","","xv, 219 pages : color illustrations ; 25 cm.","",""
"171","Doctor who. Series six, Part two [DVD] / BBC ; written by Steven; Moffat ... [et al.] ; directed by Richard Senior ... [et al.] ;; produced by Marcus Wilson, Sanne Wohlenberg & Denise Paul.","Doctor Who (Television program : 2005- ). Season 6. Selections.; Doctor Who (Television program : 2005- )","","0780672305.","Public Library","PubLib DVD (1st floor)  TV PRODUCTION - D","[United States] : BBC Worldwide Americas ; Burbank, Calif. :; Distributed by Warner Home Video, 2011.","","Doctor (Fictitious character) -- Drama.; Time travel -- Drama.; Extraterrestrial beings -- Drama.; Interplanetary voyages -- Drama.; Human-alien encounters -- Drama.; Television programs. lcgft.; Fiction television programs. lcgft.; Science fiction television programs. lcgft.; Action and adventure television programs. lcgft.; Video recordings for the hearing impaired. lcgft.; Television serials. gsafd.; Science fiction television programs. gsafd.; Adventure television programs. gsafd.; DVD video discs.","DVD, NTSC ; widescreen (16:9; enhanced) presentation ; Dolby; digital 5.1.; In English.  Subtitled in English for the deaf and hard of; hearing [SDH].; Title from container.; Arthur Darvill, Karen Gillen, Matt Smith.; Originally broadcast as episodes of the television series in; 2011.; The second half of the hugely popular sixth season of Doctor Who!; promises new thrills, new monsters, and an unbelievable climax,; thrilling beyond all time and space!; Includes episodes 8-13 from the 6th season.; Disc 1, episode 8. Let's kill Hitler -- episode 9. Night; terrors -- episode 10. The girl who waited -- disc 2, episode; 11. The god complex -- episode 12. Closing time -- episode 13.; The wedding of River Song.; Witten by Steven Moffat, Mark Gatiss, Tom MacRae, Toby Whithouse,; Gareth Roberts; directed by Richard Senior, Richard Clark, Nick; Hurran, Steve Hughes, Jerry Webb.","","2 videodiscs (274 min.) : sd., col. ; 4 3/4 in.","Dr. Who. Series six, part two.; Doctor Who. Series 6, part 2.; Dr. Who.","Moffat, Steven, 1961-  Author of screenplay.; Darvill, Arthur, 1982-; Gillan, Karen, 1987-; Smith, Matt, 1982-; Senior, Richard.  Director.; Wilson, Marcus.  Producer.; Wohlenberg, Sanne, 1968-  Producer.; Paul, Denise.  Producer.; BBC Worldwide Americas, Inc.; Warner Home Video (Firm); British Broadcasting Corporation.; BBC Video (Firm); BBC America."
"172","King Arthur flour whole grain baking : delicious recipes using; nutritious whole grains.","","","0881507199.","New Franklin & Public Library","PubLib NONFICTION (2nd  641.815 K52","Woodstock, Vt. : Countryman Press ; New York : Distributed by; W.W. Norton, c2006.","1st ed.","Baking.; Cooking (Cereals)","Includes index.","","xii, 612 p., [16] p. of plates : ill. (some col.) ; 26 cm.","Whole grain baking.","King Arthur Flour (Firm)"
"173","Frozen [DVD] / directors, Chris Buck, Jennifer Lee ; writers,; Chris Buck [and three others] ; producers, Aimee Scribner, John; Lasseter.","Frozen (Motion picture : 2013)","","786936838961.","Public Library YOUTH","PubLib YOUTH DVD (1st f DVD FRO","[United States] : Walt Disney Studios Home Entertainment, [2014]","","Feature films. lcgft.; Animated films. lcgft.; Children's films. lcgft.; DVD video discs.; Children's films.; Animated.; Adventure.; Family Films.","DVD, region 1, widescreen (2.20:1); Dolby Digital 5.1.; English, French or Spanish dialogue; English, French or Spanish; subtitles.; Bonus extras: ""Let It Go (End Credit Version)"" and ""Get a Horse!""; Mickey Mouse Short music videos.; Voices: Kristen Bell, Josh Gad, Idina Menzel.; When a prophecy traps a kingdom in eternal winter, Anna, a; fearless optimist, teams up with extreme mountain man Kristoff; and his sidekick reindeer Sven on an epic journey to find; Anna's sister Elsa, the Snow Queen, and put an end to her icy; spell. Encountering mystical trolls, a funny snowman named; Olaf, Everest-like extremes and magic at every turn, Anna and; Kristoff battle the elements in a race to save the kingdom from; destruction.","","1 videodisc (ca. 102 min.) : sd., col. ; 4 3/4 in.","Disney Frozen.; Frozen.","Buck, Chris.; Lee, Jennifer.  Author of screenplay.; Scribner, Aimee.; Lasseter, John.; Bell, Kristen, 1980-; Gad, Josh, 1981-; Menzel, Idina.; Walt Disney Studios Home Entertainment (Firm)"
"174","Fodor's London.","","","0149-631X 0149-631X 1.","Public Library","PubLib NONFICTION (2nd  914.21 F6 2017","[New York] Fodor's [etc.]","","London (England) -- Guidebooks.","""Created by Eugene Fodor.""; Published: David McKay Co., <1977->","","v. ill. 19-21 cm.","London.","Fodor, Eugene, 1905-"
"175","Rick Steves' London 2013 / Rick Steves & Gene Openshaw.","","Steves, Rick, 1955-","9781612383873.","Public Library","PubLib NONFICTION (2nd  914.21 S8489 2013","Berkeley, CA : Avalon Travel, c2012.","","London (England) -- Guidebooks.","Includes index.; You can count on Rick Steves to tell you what you ""really"" need; to know when travelling in London. With the self guided tours; in this book, you'll explore historic Big Ben, bustling; Trafalgar Square, and the Tower of London, home of the crown; jewels. Learn how to save time and money on the Tube, and how; to avoid the mobs at the Changing of the Guard. Investigate; London's world class museums, where you can trace Western; civilisation from the Magna Carta and Shakespeare to Van Gogh; and Picasso. Venture into Soho's theater district for a glitzy; musical or a delicious Indian dinner. End a great day at a; neighbourhood pub, sharing a pint and a chat with a friendly; local. Rick's candid, humourous advice will guide you to good; value hotels and restaurants in delightful London; neighbourhoods. You'll learn how to get around by bus and on; the Tube, and which sights are worth your time and money. More; than just reviews and directions, a Rick Steves guidebook is a; tour guide in your pocket.; Orientation to London -- Sights in London -- Self guided walks; and tours -- Sleeping in London -- Eating in London -- London; with children -- Shopping in London -- Entertainment in; London -- London connections -- Day trips -- Great Britain past; and present.","","631 p. : ill. (some col.), maps (some col.) ; 21 cm.","Rick Steves' 2013 London.; London 2013.","Openshaw, Gene."
"176","Dancing at the edge of the world : thoughts on words, women,; places / Ursula K. Le Guin.","","Le Guin, Ursula K., 1929-","080211105X.","Public Library","PubLib NONFICTION (2nd  814 Le GUIN 1988","New York : Grove Press, 1989.","1st ed.","","","","viii, 306 p. ; 24 cm.","",""
"177","The wave in the mind : talks and essays on the writer, the; reader, and the imagination / Ursula K. Le Guin.","","Le Guin, Ursula K., 1929-","1590300068 (alk. paper)","Public Library","PubLib NONFICTION (2nd  813 L521","Boston : Shambhala ; New York : Distributed in the United States; by Random House, 2004.","1st ed.","Le Guin, Ursula K., 1929-; Le Guin, Ursula K., 1929- -- Authorship.; Science fiction -- Authorship.; Science fiction -- History and criticism.","Personal matters -- Introducing myself -- Being taken for granite; -- Indian uncles -- My libraries -- My island -- On the; frontier -- Readings -- All happy families -- Things not; actually present: On the book of fantasy and J.L. Borges --; Reading young, reading old: Mark Twain's diaries of Adam and; Eve -- Thinking about Cordwainer Smith -- Strews-rhythm in; poetry and prose -- Rhythmic pattern in The Lord of the; rings -- The wilderness within: The sleeping beauty and ""the; poacher"" -- Off the page: loud cows: a talk and a poem about; reading aloud -- Discussions and opinions -- Fact and/or/plus; fiction -- Award and gender -- On genetic determinism -- About; feet -- Dogs, cars, and dancers: thoughts about beauty --; Collectors, rhymesters, and drummers -- Telling is listening --; The operating instructions -- ""A war without end"" -- On writing; -- A matter of trust -- The writer and the character --; Unquestioned assumptions -- Prides: an essay on writing; workshops -- The question I get asked most often -- Old body; not writing -- The writer on, and at, her work.","","x, 304 p. ; 23 cm.","",""
"178","The faraway nearby / Rebecca Solnit.","","Solnit, Rebecca.","9780670025961 (hbk.)","Public Library","PubLib BIOGRAPHIES (2nd B SOLNIT, R.","New York, New York : Viking, [2013]","","Solnit, Rebecca.; Autobiography -- Authorship.; American essays.; Storytelling.; Narration (Rhetoric) -- Psychological aspects.","Apricots -- Mirrors -- Ice -- Flight -- Breath -- Wound --; Knot -- Unwound -- Breath -- Flight -- Ice -- Mirrors --; Apricots.; A companion to ""A Field Guide for Getting Lost"" explores the ways; that people construct lives from stories and connect to each; other through empathy, narrative, and imagination, sharing; anecdotes about historical figures and members of the author's; own family.","","259 pages ; 22 cm.","",""
"179","Rise of the guardians [DVD] / Dreamworks Animation SKG presents ;; screenplay by David Lindsay-Abaire ; executive producers,; William Joyce, Guillermo del Toro ; produced by Christina; Steinberg, Nancy Bernstein ; directed by Peter Ramsey.","","","141576994X.","Public Library YOUTH","PubLib YOUTH DVD (1st f DVD RIS","[United States] : Dreamworks Animation : Paramount, 2013.","","Feature films. lcgft.; Fantasy films. lcgft.; Children's films. lcgft.; Animated films. lcgft.; DVD video discs.; Children's films.; Animated.; Adventure.","DVD, NTSC, region 1, widescreen presentation; Dolby digital 5.1; surround (English, French, Spanish), Dolby digital 2.0; (English).; English, French or Spanish dialogue; Spanish, English or French; subtitles.; Alec Baldwin, Jude Law, Hugh Jackman, Chris Pine, Isla Fisher.; Originally released as a motion picture in 2012.; Rating: PG; for thematic elements and some mildly scary action.; When an evil spirit known as Pitch lays down the gauntlet to take; over the world, the immortal Guardians must join forces for the; first time to protect the hopes, beliefs, and imagination of; children all over the world.; Special features: Dreamers & believers; Sandy's dream guide; more; magic; filmmakers' commentary; previews; world of DreamWorks; animation.; Director, Peter Ramsey.","","1 videodisc (97 min.) : sd., col. ; 4 3/4 in.","","Baldwin, Alec, 1958-; Law, Jude, 1972-; Jackman, Hugh.; DreamWorks Animation.; Paramount Pictures Corporation."
"180","Lillie [DVD] / Granada International ; London Weekend; Television ; series developed by David Butler ; written by; David Butler and John Gorrie ; directed by John Gorrie,; Christopher Hodson, and Tony Wharmby ; produced by Jack; Williams.","Lillie (Television program); Masterpiece theatre (Television program)","","054961803194.","Public Library","PubLib DVD (1st floor)  TV PRODUCTION Vol. 1","Silver Spring, MD : Distributed by Acorn Media, c2007.","","Langtry, Lillie, 1853-1929 -- Drama.; Actresses -- Great Britain -- Biography -- Drama.; Edward VII, King of Great Britain, 1841-1910 -- Relations with; women -- Drama.; Adultery -- Great Britain -- Drama.; Man-woman relationships -- Great Britain -- Drama.; Great Britain -- Drama.; Television mini-series.; Foreign television programs -- Great Britain.; Biographical television programs.; Melodrama.; Television programs for the hearing impaired.; Biographical -- Television mini-series. migfg.; Melodrama -- Television mini-series. migfg.; Women -- Television mini-series. migfg.; Television serials. gsafd.; Biographical television programs. gsafd.; Melodrama. gsafd.; DVD video discs lcsh.","DVD, full screen (4:3) presentation; Dolby Digital.; Closed-captioned.; Title from container.; Francesca Annis, Anton Rodgers, Denis Lill, Peter Egan, Patrick; Holt, John Castle, Joanna David.; Originally broadcast on television in 1979.; Contains all 13 episodes of the British television mini-series.; ""As seen on Masterpiece theatre.""; Portrays the acclaimed British actress and courtesan Lillie; Langtry from the blush of youth to the blight of old age. At a; time when society expected women to be docile and demure,; Lillie posed for celebrity endorsements, conducted her own; business affairs, and paid her first husband to keep his; distance. Even more scandalously, she openly entertained a; string of lovers among Europe's elite, including the very; married Prince of Wales.; Volume 1: Episode 1: Emilie -- Episode 2: Mrs. Langtry -- Episode; 3: The Jersey lily -- Episode 4: The new Helen. Volume 2:; Episode 5: Bertie -- Episode 6: Let them say -- Episode 7: The; sailor prince. Volume 3: Episode 8: Going on the stage --; Episode 9: America! -- Episode 10: Home on the range. Volume 4:; Episode 11: Mr. Jersey -- Episode 12: Sunset and evening; star -- Episode 13: Fifty cents a dance.; Special features: Essay about Lillie Langry's impact on pop; culture; cast filmographies.","","4 videodiscs (ca. 672 min.) : sd., col. ; 4 3/4 in.","","Butler, David, 1927-; Gorrie, John.; Hodson, Christopher, 1929-; Wharmby, Tony.; Williams, Jack, 1911-2002.; Annis, Francesca, 1944-; Rodgers, Anton, 1933-2007.; Lill, Denis.; Egan, Peter.; Holt, Patrick.; Castle, John, 1940-; David, Joanna.; Granada Media (Firm); London Weekend Television, ltd.; Acorn Media (Firm)"
"181","Abhorsen / Garth Nix.","","Nix, Garth.","9780061474330 (pbk.) : $9.99.","Public Library TEEN (1st floor)","PubLib TEEN FICTION (1s FIC NIX, G.","New York, N.Y. : HarperCollinsPublishers, c2003.","1st ed.","Fantasy.","Abhorsen-In-Waiting Lirael and Prince Sameth, a Wallmaker, must; confront and bind the evil spirit Oranis before it can destroy; all life.","The Old Kingdom series ; 3.; Nix, Garth Old Kingdom series ; 3.","358 p. ; 22 cm.","",""
"182","More baths, less talking / by Nick Hornby.","Contained in: Believer (San Francisco, Calif.)","Hornby, Nick, author.","9781938073052 (pbk.)","Public Library","PubLib NONFICTION (2nd  813 H814","","","Hornby, Nick -- Books and reading.; Books and reading.; Books -- Reviews.; Literature -- 20th century -- History and criticism.","""These pieces appeared between May 2010 and December 2011 in the; Believer magazine""--Title page verso.; Shares selections from the author's column in ""The Believer"" that; discuss books he has bought and books he has read, and offers; suggestions for great reads in every genre.","","135 pages ; 22 cm.","",""
"183","Leonie [DVD] / from Monterey Media ; produced and directed by; Hisako Matsui ; written by Hisako Matsui and David Weiner.","","","9781569943670.","Public Library","PubLib DVD (1st floor)  FEATURE FILM - L","[United States] : Monterey Video, c2013.","","Gilmour, Leonie.; Noguchi, Isamu, 1904-1988.; Biographical films. lcgft.; Feature films. lcgft.; Video recordings for the hearing impaired. lcgft.; DVD video discs.; Foreign.","DVD, region 1, widescreen (16:9) presentation; 5.1 surround sound; & stereo.; Closed-captioned.; Title from container.; Emily Mortimer, Christina Hendricks, Shido Nakamura, Mieko; Harada, Jan Milligan, Keiko Takeshita.; Originally released as a motion picture in 2010.; Rating: PG-13; for brief sexuality, partial nudity and brief; language.; The true life story of Leonie Gilmour, whose life crossed; continents, wars, and cultures, embodied with courage and; passion in search of art and freedom. A tender and inspiring; story of a remarkable woman who nurtures the amazing artistic; talent of her son, who has only one way to succeed and one; person to guide him, as he grows into the world-renowned artist; Isamu Noguchi.; Special features: Making of Leonie; interview with the director; (in Japanese); Isamu Noguchi.; Director, Hisako Matsui.","","1 videodisc (102 min.) : sd., col. ; 4 3/4 in.","","Matsui, Hisako.; Weiner, David.; Mortimer, Emily.; Hendricks, Christina, 1978-; Nakamura, Shid¯o.; Harada, Mieko, 1958-; Milligan, Jan.; Takeshita, Keiko, 1953-; Monterey Media Inc.; Monterey Video (Firm)"
"184","Summer in February [DVD] / Tribeca Film presents ; a Crossday and; Apart Films production ; produced by Jeremy Cowdrey, Janette; Day, Pippa Cross, Dan Stevens ; screenplay by Jonathan Smith ;; directed by Christopher Menaul.","","","025192235009.","Public Library","PubLib DVD (1st floor)  FEATURE FILM - S","[Place of publication not identified] : [Publisher not; identified], [2014]; [New York, NY] : Cinedigm Entertainment.; ©2014.","","Munnings, Alfred J. (Alfred James), Sir, 1878-1959 -- Drama.; England -- Drama.; Feature films. lcgft.; Romance films. lcgft.; Film adaptations. lcgft.; Biographical films. lcgft.; Historical films. lcgft.; Video recordings for the hearing impaired. lcgft.; DVD video discs.; Foreign.","DVD ; widescreen (16:9) presentation ; Dolby digital 5.1; surround.; Closed-captioned.; Title from container.; Dominic Cooper, Dan Stevens, Emily Browning.; Editors, Chris Gill, St. John O'Rorke; director of photography,; Andrew Dunn; music by Benjamin Wallfisch.; Adapted from a book of the same name by Jonathan Smith.; DVD release of the 2013 motion picture.; MPAA rating: Not rated.; A sweeping romance set at a bohemian artist colony on the; picturesque coast of pre-war England and is based on the true; story of painter Sir Alfred Munnings and his blue-blood best; friend Gilbert. Munnings rises to become one of the premier; artists of his time, winning the affection of beauty Florence; Carter-Wood. But when Gilbert falls for Florence as well, a; love triangle emerges with tragic consequences.; Bonus feature: Interview with Dan Stevens.","","1 videodisc (100 min.) : sound, color ; 4 3/4 in.","","Menaul, Christopher, film director.; Smith, Jonathan, 1942- screenwriter.; Stevens, Dan, 1982- actor, film producer.; Cooper, Dominic, 1978- actor.; Browning, Emily, 1988- actor.; Adaptation of (work): Smith, Jonathan, 1942- Summer in February.; Apart Films (Firm), production company.; Crossday (Firm), production company.; Tribeca Productions, presenter.; Cinedigm (Firm), film distributor."
"185","Outsourcing library technical services operations : practices in; academic, public, and special libraries / edited by Karen A.; Wilson, Marylou Colver.","","","0838907032.","Public Library","PubLib OFFICE-TECH      025 O94","Chicago : American Library Association, c1997.","","Processing (Libraries) -- Contracting out -- United States.; Processing (Libraries) -- Contracting out -- Canada.; Academic libraries -- United States.; Academic libraries -- Canada.; Public libraries -- United States.; Special libraries -- United States.","""Sponsored by the Commerical Technical Services Committee,; Association for Library Collections and Technical Services.""; Includes bibliographical references (p. 191-219) and index.; pt. 1. Academic libraries -- Outsourced cataloguing and physical; processing at the University of Alberta Library -- Vendor; preprocessing of approval material and cataloging records for; the University of Arizona Library -- Authority control and; record enrichment outsourcing at the University of California,; Santa Barbara -- Freelance cataloging: outsourcing original; calaloging at Central Oregon Community College Library --; Strategic planning for technical services: outsourcing copy; cataloging at the libraries of the Claremont Colleges --; Authority contol: outsourcing retrospective and ongoing; processing at the Emory University Libraries -- Cataloging; music scores and foreign language material: outsourcing at; Florida Atlantic University Libraries -- Project Muse:; outsourcing authority work and hypertext markup of tables of; contents for electronic journals published by Johns Hopkins; University Press --Outsourcing cataloguing and physical; processing: a Canadian experience at the University of Manitoba; Libraries -- Insourcing of cataloging for a special collection:; an alternative to outsourcing at the University of Nebraska-; Lincoln Libraries -- Leveraging value from the J. Hugh Jackson; Library's collections: outsourcing document delivery and tables; of contents services at Standford University's Graduate School; of Business Library -- pt. 2. Public libraries -- Opening-day; collections and current acquisitions: outsourcing item record; creation and physical processing for the Albuquerque/Bernalillo; County Public Library System -- From selection to shelf:; outsourcing book selection, copy cataloging and physical; processing at Fort Worth Public Library -- Outsourcing three; technical services operations: physical processing, copy; cataloging, and authority control at Houston Public Library --; pt. 3. Special libraries -- The outsourcing solution for; cataloging and database maintenance at the Chubb Law & Business; Library -- Outsourcing becomes insourcing: cataloging ephemeral; trade literature at the Indiana Historical Society Library --; Works referenced frequently -- Selected annotated bibliography.","","xxi, 239 p. ; 23 cm.","","Wilson, Karen A.; Colver, Marylou.; Association for Library Collections & Technical Services.; Commercial Technical Services Committee."
"186","Ratatouille [DVD] / Walt Disney Pictures presents a Pixar; Animation Studios film ; produced by Brad Lewis ; story by Jan; Pinkava, Jim Capobianco, Brad Bird ; screenwriter and director,; Brad Bird.","Ratatouille (Motion picture)","","0788875477.","Public Library & Public Library YOUTH","PubLib YOUTH DVD (1st f DVD RAT","Burbank, CA : Walt Disney Home Entertainment : Distributed by; Buena Vista Home Entertainment, c2007.","","Rats -- France -- Paris -- Drama.; Restaurants -- France -- Paris -- Drama.; Cooking -- France -- Paris -- Drama.; Restaurants -- Employees -- Drama.; Paris (France) -- Drama.; Restaurantes, cafeterías, etc. -- Francia -- París -- Teatro.; bidex.; Cocina -- Francia -- París -- Teatro. bidex.; Feature films.; Animated films.; Comedy films.; Video recordings for the hearing impaired.; Comedy -- Animation -- Feature. migfg.; Animal -- Animation -- Feature. migfg.; Feature films. gsafd.; Animated films. gsafd.; Comedy films. gsafd.; DVD video discs lcsh.","DVD ; Region 1 ; widescreen (2.35:1) presentation ; Dolby Digital; 5.1 surround, Dolby Digital 2.0 stereo. surround.; In English or dubbed Spanish, with  English subtitles.; Closed-captioned.; Voices: Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter; Sohn, Peter O'Toole, Brad Garrett, Janeane Garofalo, Will; Arnett, Julius Callahan, James Remar, John Ratzenberger.; Directors of photography, Robert Anderson, Sharon Calahan ;; animation directors, David DeVan, Michael Venturini ; editor,; Darren Holmes ; music, Michael Giacchino ; production designer,; Harley Jessup ; visual effects supervisor, Apurva Shah.; MPAA rating: G.; A rat named Remy dreams of becoming a great chef despite his; family's wishes and the obvious problem of being a rat in a; decidedly rodent-phobic profession. When fate places Remy in; Paris, he finds himself ideally situated beneath a restaurant; made famous by his culinary hero. Despite the apparent dangers; of being an unwanted visitor in the kitchen of one of Paris'; most exclusive restaurants, Remy forms an unlikely partnership; with Linguini, the garbage boy, who inadvertently discovers; Remy's amazing talents. They strike a deal, ultimately setting; into motion a chain of extraordinary events that turns the; culinary world of Paris upside down.; Special features: all-new exclusive short - Remy and Emile; present ""Your friend the rat;"" deleted scenes; never-before-; seen documentary featuring director Brad Bird.","","1 videodisc (ca. 111 min.) : sd., col. ; 4 3/4 in.","","Lewis, Brad.; Bird, Brad, 1957-; Copobianco, Jim.; Pinkava, Jan.; Oswalt, Patton.; Holm, Ian, 1931-; Romano, Lou.; Dennehy, Brian.; Sohn, Peter.; O'Toole, Peter, 1932-; Garrett, Brad, 1960-; Garofalo, Janeane.; Arnett, Will.; Callahan, Julius.; Remar, James.; Ratzenberger, John.; Walt Disney Pictures.; Pixar (Firm); Walt Disney Home Entertainment (Firm); Buena Vista Home Entertainment (Firm)"
